DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Abundance
Alectoria fallacina - 1903189	1
Telodiacria quadridentata - 356477	1
Candidatus Saccharibacteria bacterium 47-87 - 1895828	1
Alteromonadaceae bacterium XY-R5 - 1737567	1
Actibacterium pelagium - 2029103	1
eukaryote clone OLI11005 - 121264	4
Botryllus schlosseri - 30301	1
Bacillus sp. MT06 - 290347	1
Peronospora belbahrii - 622444	1
Bacteroidales bacterium CF - 1400053	1
uncultured phototrophic eukaryote - 172788	1
Amoebophrya sp. ex Akashiwo sanguineaum - 860588	1
Triparma laevis - 1534972	2
Sogatella furcifera - 113103	1
Cyclosalpa polae - 942550	2
Roya obtusa - 104537	1
Bradyrhizobium japonicum - 375	1
'Neoaliturus pulcher' phytoplasma - 1968434	1
uncultured Thalassobacter sp. - 888082	1
Sphingomonas sp. Leaf231 - 1736301	1
Burkholderia sp. NFACC33-1 - 1566269	1
uncultured Katablepharidaceae - 340052	2
Actinomyces sp. Chiba101 - 1851395	1
uncultured prasinophyte - 157820	3
Micromonospora carbonacea - 47853	1
Prymnesium sp. BO18 - 871236	1
Rivularia sp. 5PA13 - 994825	1
Capnocytophaga sp. oral taxon 878 - 1316596	1
uncultured marine group II euryarchaeote HF130_28F07 - 347574	1
uncultured cyanobacterium - 1211	5
Ochrosphaera neapolitana - 35137	1
Haptophyta environmental samples - 171259	1
Gallionella sp. enrichment culture clone MWE_N34 - 572954	1
Centropages typicus - 463189	2
Synechococcus sp. WH 5701 - 69042	2
Candidatus Endowatersipora rubiformis - 376748	1
Spiribacter salinus M19-40 - 1260251	1
Bacteroidetes bacterium GWF2_40_13 - 1797346	1
Candidatus Peregrinibacteria bacterium GW2011_GWA2_44_7 - 1619057	1
Mycobacterium sp. DWMJ-322B1 - 1761342	1
Cryptosporidium parvum - 5807	1
Peptococcaceae bacterium BRH_c8a - 1629715	1
Hyphomonas taiwanensis - 342464	1
Candidatus Spiroplasma holothuricola - 1963034	1
Fibrocapsa japonica - 94617	1
Chlamydiae bacterium RIFCSPLOWO2_12_FULL_49_12 - 1797611	1
Thauera terpenica 58Eu - 1348657	1
Botryococcus braunii - 38881	1
Sphingomonas sp. IBVSS2 - 1985172	1
Salpidae gen. nov. sp. nov. A AG-2011 - 942558	2
uncultured Amoebophrya - 304059	2
uncultured gamma proteobacterium KTc0924 - 120670	1
Picea glauca - 3330	1
Bacteroidetes bacterium GWF2_33_38 - 1797342	1
bacterium enrichment culture clone auto8_4W - 749118	1
Parcubacteria bacterium OLB19 - 1617425	1
Aequorivita aquimaris - 1548749	2
uncultured dictyochophyte - 315793	1
Aureococcus anophagefferens - 44056	2
Salpa thompsoni - 569448	1
Phaeocystis antarctica - 33657	2
Pseudoruegeria aquimaris - 393663	1
Philine aperta - 71505	1
uncultured Peredibacter sp. - 362445	1
Mallomonas splendens - 52552	1
Flavobacteriaceae bacterium DOKDO 020 - 346186	1
Candidatus Hodgkinia cicadicola - 573658	1
uncultured Desulfobacteraceae bacterium - 218296	1
Alkaliflexus imshenetskii - 286730	1
Pseudonocardia sp. EC080625-04 - 1096868	1
Uncultured marine alveolate Group II DH145-EKD20 - 151583	1
Achipteria coleoptrata - 229769	1
Sediminibacter sp. Hel_I_10 - 1392490	2
Afipia sp. Root123D2 - 1736436	1
Craticula pseudocitrus - 2055816	1
Eristalis dimidiata - 1352481	1
Bathycoccus prasinos - 41875	1
Roseovarius sp. - 1486281	1
Chloropicon primus - 1764295	1
Cyanidium caldarium - 2771	2
uncultured OM43 clade bacterium - 1233500	1
uncultured bacterium HF0500_01L02 - 542504	1
Asparagopsis taxiformis - 260499	1
Nannochloropsis oculata - 43925	1
uncultured biliphyte - 1423345	2
Clostridium pasteurianum DSM 525 _ ATCC 6013 - 1262449	2
Candidatus Actinomarina minuta - 1389454	1
Flavobacteriales bacterium ALC-1 - 391603	1
Salinisphaera sp. - 1914330	1
beta proteobacterium JGI 0001003-N18 - 1094972	1
Martelella sp. - 1969699	1
Valsaria neotropica - 1680671	1
uncultured Micromonas - 343857	1
Scytonema tolypothrichoides VB-61278 - 1233231	1
Parastreptomyces abscessus - 329649	1
unidentified marine eubacterium - 28248	1
Eosphagnum rigescens - 1846180	1
Solemya velesiana gill symbiont - 1918948	1
Macrococcus sp. IME1552 - 1898474	1
uncultured Legionellales bacterium - 351057	1
uncultured marine haptophyte - 588878	1
Candidatus Planktophila vernalis - 1884907	1
Rivularia sp. 7PA6 - 994829	1
Thiomicrospira sp. WB1 - 1685380	1
Sorangium cellulosum So ce56 - 448385	1
bacterium SM23_31 - 1703762	1
Thalassolituus oleivorans - 187493	1
Glaucosphaera vacuolata - 38265	1
Methylophilales bacterium MBRSF5 - 1623448	1
Brooksia rostrata - 942560	1
marine sediment metagenome - 412755	1
uncultured Oceanospirillales bacterium - 293335	1
Rhizophagus intraradices - 4876	1
Methylophilales bacterium BACL14 MAG-120920-bin58 - 1655631	1
Synechococcus sp. KORDI-52 - 585425	1
